date,price
18-Apr-11,-0.015
19-Apr-11,-0.045
20-Apr-11,-0.13
21-Apr-11,-0.055
22-Apr-11,-0.065
25-Apr-11,-0.06
26-Apr-11,-0.06
27-Apr-11,-0.12
28-Apr-11,-0.1
29-Apr-11,-0.13
2-May-11,-0.12
3-May-11,-0.03
4-May-11,0.03
5-May-11,0.1
6-May-11,-0.085
9-May-11,-0.03
10-May-11,-0.02
11-May-11,-0.06
12-May-11,-0.08
13-May-11,0.045
16-May-11,-0.005
17-May-11,0.05
18-May-11,-0.035
19-May-11,-0.03
20-May-11,0.02
23-May-11,0.06
24-May-11,-0.02
25-May-11,-0.04
26-May-11,-0.035
27-May-11,-0.06
30-May-11,-0.03
31-May-11,-0.005
1-Jun-11,-0.03
2-Jun-11,-0.02
3-Jun-11,0.04
6-Jun-11,-0.02
7-Jun-11,-0.06
8-Jun-11,0.04
9-Jun-11,0.02
10-Jun-11,0.075
13-Jun-11,0.015
14-Jun-11,-0.025
15-Jun-11,0.045
16-Jun-11,0.06
17-Jun-11,-0.065
20-Jun-11,-0.025
21-Jun-11,-0.1
22-Jun-11,-0.05
23-Jun-11,0.03
24-Jun-11,-0.025
27-Jun-11,-0.025
28-Jun-11,-0.05
29-Jun-11,-0.12
30-Jun-11,-0.061
1-Jul-11,-0.1
4-Jul-11,-0.06
5-Jul-11,-0.02
6-Jul-11,-0.025
7-Jul-11,-0.035
8-Jul-11,0.003
11-Jul-11,0.085
12-Jul-11,-0.045
13-Jul-11,-0.09
14-Jul-11,-0.018
15-Jul-11,0.02
18-Jul-11,0.03
19-Jul-11,-0.003
20-Jul-11,-0.02
21-Jul-11,-0.095
22-Jul-11,-0.05
25-Jul-11,-0.055
26-Jul-11,-0.095
27-Jul-11,-0.03
28-Jul-11,-0.025
29-Jul-11,-0.065
1-Aug-11,-0.035
2-Aug-11,0.035
3-Aug-11,0.025
4-Aug-11,0.035
5-Aug-11,0.11
8-Aug-11,0.075
9-Aug-11,-0.07
10-Aug-11,-0.03
11-Aug-11,-0.215
12-Aug-11,-0.24
15-Aug-11,-0.2
16-Aug-11,-0.24
17-Aug-11,-0.17
18-Aug-11,-0.07
19-Aug-11,-0.17
22-Aug-11,-0.125
23-Aug-11,-0.145
24-Aug-11,-0.07
25-Aug-11,0.025
26-Aug-11,-0.06
29-Aug-11,-0.08
30-Aug-11,-0.057
31-Aug-11,-0.103
1-Sep-11,-0.072
2-Sep-11,-0.08
5-Sep-11,-0.072
6-Sep-11,-0.065
7-Sep-11,-0.05
8-Sep-11,-0.015
9-Sep-11,0.115
12-Sep-11,0.26
13-Sep-11,0.11
14-Sep-11,0.015
15-Sep-11,-0.11
16-Sep-11,-0.1
19-Sep-11,0.15
20-Sep-11,-0.085
21-Sep-11,0.16
22-Sep-11,0.29
23-Sep-11,-0.08
26-Sep-11,-0.12
27-Sep-11,-0.21
28-Sep-11,-0.04
29-Sep-11,-0.02
30-Sep-11,0.16
3-Oct-11,0.07
4-Oct-11,-0.03
5-Oct-11,-0.065
6-Oct-11,-0.05
7-Oct-11,-0.16
10-Oct-11,-0.285
11-Oct-11,0.04
12-Oct-11,-0.1
13-Oct-11,0.075
14-Oct-11,-0.1
17-Oct-11,0.055
18-Oct-11,0.02
19-Oct-11,0.02
20-Oct-11,0.085
21-Oct-11,-0.095
24-Oct-11,-0.05
25-Oct-11,0.005
26-Oct-11,0.02
