date,price
16-Jul-12,29.998
17-Jul-12,29.972
18-Jul-12,29.989
19-Jul-12,29.971
20-Jul-12,29.971
23-Jul-12,30.043
24-Jul-12,30.107
25-Jul-12,30.184
26-Jul-12,30.118
27-Jul-12,30.065
30-Jul-12,30.064
31-Jul-12,29.989
1-Aug-12,29.966
3-Aug-12,29.973
6-Aug-12,29.941
7-Aug-12,29.936
8-Aug-12,29.963
9-Aug-12,29.915
10-Aug-12,29.961
13-Aug-12,29.988
14-Aug-12,29.954
15-Aug-12,29.978
16-Aug-12,29.995
17-Aug-12,30.007
20-Aug-12,30.003
21-Aug-12,29.943
22-Aug-12,29.978
23-Aug-12,29.938
24-Aug-12,29.959
27-Aug-12,29.954
28-Aug-12,29.967
29-Aug-12,29.95
30-Aug-12,29.951
31-Aug-12,29.945
3-Sep-12,29.89
4-Sep-12,29.85
5-Sep-12,29.868
6-Sep-12,29.856
7-Sep-12,29.808
10-Sep-12,29.685
11-Sep-12,29.668
12-Sep-12,29.62
13-Sep-12,29.655
14-Sep-12,29.418
17-Sep-12,29.288
18-Sep-12,29.34
19-Sep-12,29.345
20-Sep-12,29.422
21-Sep-12,29.332
24-Sep-12,29.388
25-Sep-12,29.36
26-Sep-12,29.408
27-Sep-12,29.37
28-Sep-12,29.313
1-Oct-12,29.313
2-Oct-12,29.304
3-Oct-12,29.314
4-Oct-12,29.303
5-Oct-12,29.286
8-Oct-12,29.314
9-Oct-12,29.313
11-Oct-12,29.292
12-Oct-12,29.326
15-Oct-12,29.23
16-Oct-12,29.251
17-Oct-12,29.19
18-Oct-12,29.223
19-Oct-12,29.25
22-Oct-12,29.284
23-Oct-12,29.274
24-Oct-12,29.285
25-Oct-12,29.25
26-Oct-12,29.257
29-Oct-12,29.263
30-Oct-12,29.249
31-Oct-12,29.213
1-Nov-12,29.264
2-Nov-12,29.239
5-Nov-12,29.237
6-Nov-12,29.243
7-Nov-12,29.164
8-Nov-12,29.121
9-Nov-12,29.048
12-Nov-12,29.012
13-Nov-12,29.061
14-Nov-12,29.081
15-Nov-12,29.08
16-Nov-12,29.203
19-Nov-12,29.163
20-Nov-12,29.111
21-Nov-12,29.13
22-Nov-12,29.14
23-Nov-12,29.124
26-Nov-12,29.103
27-Nov-12,29.096
28-Nov-12,29.143
29-Nov-12,29.114
30-Nov-12,29.054
3-Dec-12,29.096
4-Dec-12,29.078
5-Dec-12,29.086
6-Dec-12,29.108
7-Dec-12,29.064
10-Dec-12,29.085
11-Dec-12,29.092
12-Dec-12,29.064
13-Dec-12,29.075
14-Dec-12,29.041
17-Dec-12,29.052
18-Dec-12,29.044
19-Dec-12,29.048
20-Dec-12,29.045
21-Dec-12,29.052
24-Dec-12,29.056
25-Dec-12,29.043
26-Dec-12,29.083
27-Dec-12,29.039
28-Dec-12,29.083
2-Jan-13,29.005
3-Jan-13,28.997
4-Jan-13,29.021
7-Jan-13,29.006
8-Jan-13,29.034
9-Jan-13,29.007
10-Jan-13,28.984
11-Jan-13,28.951
14-Jan-13,28.957
15-Jan-13,28.959
16-Jan-13,29.01
17-Jan-13,28.97
18-Jan-13,28.948
21-Jan-13,28.966
22-Jan-13,28.994
23-Jan-13,28.998
24-Jan-13,29.039
25-Jan-13,29.16
28-Jan-13,29.519
29-Jan-13,29.553
30-Jan-13,29.493
31-Jan-13,29.533
1-Feb-13,29.602
4-Feb-13,29.557
5-Feb-13,29.509
6-Feb-13,29.575
7-Feb-13,29.545
8-Feb-13,29.729
18-Feb-13,29.666
19-Feb-13,29.613
20-Feb-13,29.542
21-Feb-13,29.63
22-Feb-13,29.612
25-Feb-13,29.657
26-Feb-13,29.688
27-Feb-13,29.663
1-Mar-13,29.615
4-Mar-13,29.729
5-Mar-13,29.689
6-Mar-13,29.625
7-Mar-13,29.639
8-Mar-13,29.663
11-Mar-13,29.691
12-Mar-13,29.674
13-Mar-13,29.677
14-Mar-13,29.709
15-Mar-13,29.708
18-Mar-13,29.746
19-Mar-13,29.752
20-Mar-13,29.787
21-Mar-13,29.806
22-Mar-13,29.87
25-Mar-13,29.862
26-Mar-13,29.859
27-Mar-13,29.898
28-Mar-13,29.907
29-Mar-13,29.831
1-Apr-13,29.882
2-Apr-13,29.878
3-Apr-13,29.878
8-Apr-13,30.01
9-Apr-13,30.005
10-Apr-13,29.963
11-Apr-13,29.938
12-Apr-13,29.955
15-Apr-13,29.9
16-Apr-13,29.899
17-Apr-13,29.869
18-Apr-13,29.88
19-Apr-13,29.813
22-Apr-13,29.829
